,Name,B1P-DFT-forward,B1P-DFT-reverse,B1P-DFT-reaction
0,rxn_33,22.546,51.09,-28.544
1,rxn_53,29.786,54.782,-24.996
2,rxn_83,18.159,43.08,-24.92
3,rxn_216,21.822,43.456,-21.634
4,rxn_310,20.214,50.345,-30.131
5,rxn_365,33.222,59.706,-26.484
6,rxn_632,23.384,51.973,-28.589
7,rxn_721,21.996,55.503,-33.507
8,rxn_745,26.899,25.078,1.821
9,rxn_769,30.99,25.626,5.364
10,rxn_853,29.092,27.849,1.243
11,rxn_1000,40.311,31.708,8.603
12,rxn_1011,41.969,30.705,11.264
13,rxn_1017,35.966,30.679,5.287
14,rxn_1093,32.314,29.835,2.479
15,rxn_1248,32.477,28.578,3.898
16,rxn_1424,30.467,29.81,0.656
17,rxn_1441,34.959,32.372,2.587
18,rxn_1463,18.297,54.112,-35.815
19,rxn_1466,14.266,53.753,-39.487
20,rxn_1469,17.51,55.958,-38.448
21,rxn_1479,28.748,57.718,-28.97
22,rxn_1480,22.841,52.201,-29.361
23,rxn_1495,19.167,56.763,-37.595
24,rxn_1536,16.938,43.555,-26.617
25,rxn_1606,20.29,48.067,-27.777
26,rxn_1708,20.142,45.483,-25.34
27,rxn_1779,18.54,43.641,-25.101
28,rxn_1886,24.627,50.658,-26.031
29,rxn_2260,18.943,53.727,-34.784
30,rxn_2270,19.28,51.18,-31.9
31,rxn_2310,22.779,50.689,-27.911
32,rxn_2326,28.383,53.061,-24.678
33,rxn_2334,20.309,53.179,-32.87
34,rxn_2468,28.147,50.817,-22.67
35,rxn_2482,19.663,51.971,-32.309
36,rxn_2517,26.358,51.486,-25.128
37,rxn_2530,21.706,52.728,-31.022
38,rxn_2672,19.084,53.329,-34.245
39,rxn_2720,16.259,51.84,-35.581
40,rxn_2759,22.106,53.397,-31.291
41,rxn_2760,17.029,52.732,-35.703
42,rxn_2972,32.347,44.095,-11.748
43,rxn_3030,18.245,42.205,-23.96
44,rxn_3225,19.689,44.804,-25.115
45,rxn_3483,27.969,40.053,-12.083
46,rxn_3536,25.447,39.623,-14.176
47,rxn_3759,-6.596,24.348,-30.944
48,rxn_3781,-2.39,28.293,-30.683
49,rxn_4123,5.09,36.085,-30.995
50,rxn_4581,30.864,40.697,-9.833
51,rxn_4652,1.196,34.276,-33.08
52,rxn_4937,14.304,27.778,-13.475
53,rxn_5047,7.444,36.986,-29.542
54,rxn_5129,6.451,33.947,-27.496
55,rxn_5245,33.62,37.026,-3.406
56,rxn_5345,34.357,39.765,-5.408
57,rxn_5374,32.632,39.118,-6.486
58,rxn_5506,32.298,38.009,-5.711
59,rxn_5581,31.915,45.127,-13.212
60,rxn_5582,24.353,30.989,-6.636
61,rxn_5616,29.287,34.85,-5.563
62,rxn_5653,29.824,38.89,-9.066
63,rxn_5748,25.474,47.174,-21.7
64,rxn_5756,31.627,46.089,-14.463
65,rxn_5854,30.32,39.98,-9.66
66,rxn_5956,37.731,55.858,-18.127
67,rxn_6105,37.452,43.894,-6.442
68,rxn_6178,37.708,54.91,-17.202
69,rxn_6180,27.722,33.989,-6.267
